City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Cimahi,86,ID,1584468912,91,-6.87,107.54,69.35,0.67
Tuktoyaktuk,75,CA,1584468912,84,69.45,-133.04,-2.2,9.17
Labuhan,100,ID,1584468912,91,-6.88,112.21,75.83,2.71
Busselton,15,AU,1584468912,98,-33.65,115.33,54,17.92
Acoua,1,YT,1584468912,70,-12.72,45.06,84.2,8.05
Dera Ghazi Khan,6,PK,1584468912,49,30.06,70.63,67.91,0.98
Tual,100,ID,1584468913,70,-5.67,132.75,81.95,3.29
Kavaratti,20,IN,1584468913,61,10.57,72.64,83.57,3.33
Fortuna,90,US,1584468913,93,40.6,-124.16,46.4,10.29
Oranjestad,20,AW,1584468913,51,12.52,-70.03,86,17.22
Bluff,7,NZ,1584468913,95,-46.6,168.33,37.99,3
East London,40,ZA,1584468913,88,-33.02,27.91,68,4.7
Arraial do Cabo,75,BR,1584468914,83,-22.97,-42.03,82.4,8.05
Pemangkat,3,ID,1584468914,90,1.17,108.97,77.27,8.28
Phalaborwa,39,ZA,1584468914,70,-23.94,31.14,68.63,4.81
Carnarvon,100,AU,1584468914,73,-24.87,113.63,73.4,13.87
Severo-Kuril'sk,100,RU,1584468915,81,50.68,156.12,15.35,7.9
Aktobe,53,KZ,1584468638,80,50.28,57.21,30.2,11.18
Khorixas,85,NA,1584468915,59,-20.37,14.97,73.85,14.43
Nikolskoye,82,RU,1584468915,80,59.7,30.79,36,8.95
Lubango,100,AO,1584468915,96,-14.92,13.49,63.23,4.88
Punta Arenas,75,CL,1584468915,50,-53.15,-70.92,57,27.51
Hasaki,20,JP,1584468916,75,35.73,140.83,42.8,2.24
Seoul,1,KR,1584468253,93,37.57,126.98,37.4,3.18
Nanortalik,0,GL,1584468916,57,60.14,-45.24,19.85,16.46
Bilibino,100,RU,1584468916,96,68.05,166.44,18.95,0.96
Flinders,30,AU,1584468916,93,-34.58,150.86,63,8.05
Miles City,1,US,1584468916,64,46.41,-105.84,39.2,9.17
Aloleng,6,PH,1584468917,81,16.13,119.78,71.33,3.94
Wajir,91,KE,1584468917,44,1.75,40.06,95,6.02
Pangnirtung,90,CA,1584468379,65,66.15,-65.71,8.6,18.34
Upernavik,0,GL,1584468349,52,72.79,-56.15,-11.29,5.1
San Felipe,5,MX,1584468868,52,21.48,-101.22,68,5.82
Tautira,75,PF,1584468917,74,-17.73,-149.15,86,8.05
Aswān,0,EG,1584468917,22,24.09,32.91,77,18.34
Ilulissat,75,GL,1584468918,41,69.22,-51.1,1.4,17.22
Portland,100,AU,1584468918,52,-38.33,141.6,68.81,13.71
Hermanus,7,ZA,1584468918,87,-34.42,19.23,66,3
Batagay,98,RU,1584468918,99,67.63,134.63,-4.63,1.81
Cabo San Lucas,75,MX,1584468776,50,22.89,-109.91,77,4.7
Hilo,90,US,1584468835,83,19.73,-155.09,73.99,6.93
Palembang,20,ID,1584468658,94,-2.92,104.75,78.8,8.05
Safaga,0,EG,1584468919,43,26.73,33.94,71.6,14.99
Mount Isa,16,AU,1584468251,60,-20.73,139.5,71.6,2.24
Of,75,TR,1584468919,93,40.94,40.27,39.2,9.17
Kiama,30,AU,1584468894,93,-34.68,150.87,63,8.05
Bandarbeyla,84,SO,1584468919,73,9.49,50.81,80.33,14.5
Amapá,56,BR,1584468785,92,1,-52,80.69,4.14
Ostrovnoy,100,RU,1584468353,83,68.05,39.51,24.17,18.84
Pisco,99,PE,1584468920,30,-13.7,-76.22,71.6,8.05
Jequié,3,BR,1584468744,44,-13.86,-40.08,88.79,6.17
Tommot,94,RU,1584468724,97,58.96,126.29,17.15,1.48
Morro Bay,75,US,1584468920,66,35.37,-120.85,54,6.93
Kahului,40,US,1584468920,73,20.89,-156.47,75.99,5.82
Souillac,40,MU,1584468920,88,-20.52,57.52,77,3.36
Zhangaözen,100,KZ,1584468921,60,43.3,52.8,40.91,15.79
Sassandra,55,CI,1584468921,77,4.95,-6.08,83.39,10.51
Ferrol,0,ES,1584468921,63,43.48,-8.24,62.6,4.7
Tuatapere,23,NZ,1584468346,95,-46.13,167.68,37.99,3
Hithadhoo,60,MV,1584468921,75,-0.6,73.08,84.83,12.12
Buenos Aires,30,CR,1584468921,40,9.17,-83.33,90.77,7.7
Avarua,100,CK,1584468922,88,-21.21,-159.78,80.6,17.22
Lichuan,26,CN,1584468922,94,30.3,108.85,42.71,0.78
San Quintín,60,MX,1584468164,66,30.48,-115.95,59.27,6.96
Georgetown,41,SH,1584468922,76,-7.93,-14.42,81.59,13.8
Kumul,56,CN,1584468922,25,42.8,93.45,44.51,1.5
Kaitangata,9,NZ,1584468922,73,-46.28,169.85,46.99,7.78
Zhuanghe,0,CN,1584468922,62,39.7,122.99,43.97,12.75
Marabá,75,BR,1584468923,55,-5.37,-49.12,91.4,3.36
Musiri,20,IN,1584468923,74,10.93,78.45,82.4,6.93
Geraldton,90,AU,1584468360,68,-28.77,114.6,69.8,13.87
Camocim,95,BR,1584468923,88,-2.9,-40.84,82.85,5.79
Thompson,5,CA,1584468923,58,55.74,-97.86,-5.8,10.29
Brae,96,GB,1584468923,86,60.4,-1.35,39.2,19.46
Riyadh,43,SA,1584468754,30,24.69,46.72,80.6,5.82
Saint-François,0,GP,1584468924,61,16.25,-61.27,82.4,9.17
Castro,40,CL,1584468924,67,-42.47,-73.77,60.8,6.93
Qaanaaq,83,GL,1584468924,71,77.48,-69.36,-19.57,2.57
Boyolangu,100,ID,1584468924,92,-8.12,111.89,74.57,1.36
Srednekolymsk,100,RU,1584468725,96,67.45,153.68,-7.87,8.93
Sisimiut,100,GL,1584468924,84,66.94,-53.67,2.57,18.5
The Valley,20,AI,1584468364,65,18.22,-63.06,86,11.41
Narsaq,20,GL,1584468925,40,60.92,-46.05,17.6,1.12
Moose Factory,90,CA,1584468925,68,51.26,-80.61,24.8,23.04
Inírida,56,CO,1584468925,39,3.87,-67.92,97.07,3.09
Ribeira Grande,20,PT,1584468925,82,38.52,-28.7,64.4,13.87
Robertsport,50,LR,1584468925,82,6.75,-11.37,82.67,12.19
Hibbing,90,US,1584468926,58,47.43,-92.94,32,12.75
Itarema,67,BR,1584468926,70,-2.92,-39.92,85.19,8.63
Leningradskiy,83,RU,1584468926,80,69.38,178.42,19.13,9.91
Huarmey,71,PE,1584468926,48,-10.07,-78.15,84.47,11.21
Maniitsoq,100,GL,1584468926,69,65.42,-52.9,13.55,21.65
Esperance,75,AU,1584468926,88,-33.87,121.9,62.6,17.22
Chui,33,UY,1584468927,51,-33.7,-53.46,77.09,12.5
Ürümqi,69,CN,1584468927,39,43.8,87.6,50,8.95
Mezen',95,RU,1584468927,81,65.85,44.24,28.31,14.18
Cherskiy,100,RU,1584468927,94,68.75,161.3,7.61,15.59
Lompoc,90,US,1584468642,81,34.64,-120.46,53.01,3.36
Saskylakh,0,RU,1584468927,83,71.92,114.08,-27.31,5.35
Roald,75,NO,1584468927,86,62.58,6.13,39.99,27.51
Iqaluit,90,CA,1584468927,78,63.75,-68.51,15.8,18.34
Amuntai,55,ID,1584468928,83,-2.42,115.25,74.75,2.01
Poronaysk,0,RU,1584468928,70,49.22,143.12,22.37,3.85
Bac Lieu,88,VN,1584468928,87,9.29,105.72,76.55,3.74
Ayagoz,97,KZ,1584468928,71,47.97,80.44,37.31,10.27
Puerto Cabezas,75,NI,1584468928,79,14.04,-83.39,84.2,6.93
Saint-Georges,75,GF,1584468928,88,3.9,-51.8,78.8,5.82
Kavieng,100,PG,1584468929,75,-2.57,150.8,83.21,13
Filadelfia,54,PY,1584468929,29,-22.35,-60.03,100.67,11.07
Lázaro Cárdenas,0,MX,1584468368,49,17.96,-102.2,86.27,9.57
Paita,17,PE,1584468929,100,-5.09,-81.11,62.6,11.41
Lebu,0,CL,1584468929,52,-37.62,-73.65,70.07,9.31
Almaty,90,KZ,1584468354,64,43.25,76.95,57.2,4.47
San Andrés,20,CO,1584468826,66,12.58,-81.7,86,13.87
São Filipe,22,CV,1584468930,78,14.9,-24.5,67.37,21.03
Butaritari,48,KI,1584468930,76,3.07,172.79,83.21,13.91
Khatanga,84,RU,1584468930,80,71.97,102.5,-15.07,7.31
Chokurdakh,14,RU,1584468930,92,70.63,147.92,-21.73,6.85
Alvorada,85,BR,1584468930,70,-12.48,-49.12,85.37,3.69
Mossamedes,85,AO,1584468348,79,-15.2,12.15,74.21,6.38
Touros,20,BR,1584468802,55,-5.2,-35.46,89.6,11.41
Ţahţā,0,EG,1584468931,46,26.77,31.5,71.6,13.87
Margate,76,ZA,1584468931,75,-30.86,30.37,74.39,32.28
Ouadda,12,CF,1584468931,21,8.08,22.4,83.57,4.43
Wynyard,97,CA,1584468931,87,51.77,-104.18,14.81,5.41
San Cristobal,20,EC,1584468931,74,-0.9,-89.62,84.2,6.93
Coyhaique,40,CL,1584468932,51,-45.58,-72.07,60.8,4.7
Saint-Augustin,91,CA,1584468348,72,51.23,-58.65,27.05,26.24
Ipixuna,75,BR,1584468932,83,-1.76,-48.8,80.6,5.82
Katsuura,20,JP,1584468932,65,35.13,140.3,48.99,4.7
San Luis,40,CO,1584468932,49,6.04,-74.99,80.6,9.17
Vanavara,28,RU,1584468932,96,60.34,102.28,0.41,4.12
El Peñón,20,DO,1584468932,40,18.3,-71.18,86,13.87
Salalah,75,OM,1584468933,69,17.02,54.09,78.8,6.93
Verkhnevilyuysk,100,RU,1584468933,94,63.45,120.32,-7.51,4.59
Bambous Virieux,40,MU,1584468933,88,-20.34,57.76,77,3.36
Puerto Ayora,20,EC,1584468933,62,-0.74,-90.35,86,10.29
Sinnamary,71,GF,1584468933,74,5.38,-52.95,80.69,11.18
Heinola,90,FI,1584468933,93,61.21,26.04,37.4,16.11
Ulaangom,49,MN,1584468933,92,49.98,92.07,12.11,1.54
Mareeba,75,AU,1584468933,78,-17,145.43,77,10.29
Teeli,96,RU,1584468934,75,51.03,90.23,23.27,2.06
Yumen,23,CN,1584468934,23,40.28,97.2,38.39,13.91
Šitbořice,100,CZ,1584468934,66,49.01,16.78,52,2.24
Issy-les-Moulineaux,60,FR,1584468934,76,48.82,2.28,59,1.61
Jiménez,90,MX,1584468934,28,28.33,-105.4,69.8,10.29
Mahébourg,40,MU,1584468934,88,-20.41,57.7,77,3.36
Sur,0,OM,1584468934,66,22.57,59.53,67.37,1.72
Provideniya,100,RU,1584468935,96,64.38,-173.3,22.19,3.02
Bethel,90,US,1584468935,81,41.37,-73.41,50,7.54
Ketchikan,1,US,1584468935,64,55.34,-131.65,39.2,17.22
Bartica,75,GY,1584468935,94,6.4,-58.62,77,9.17
Richards Bay,52,ZA,1584468936,69,-28.78,32.04,73.31,21.94
Vestmannaeyjar,20,IS,1584468936,64,63.44,-20.27,35.6,13.87
Egvekinot,100,RU,1584468936,96,66.32,-179.17,20.75,5.01
Cidreira,57,BR,1584468936,77,-30.18,-50.21,73.31,16.35
Kuvandyk,30,RU,1584468936,93,51.48,57.36,20.57,6.55
Sweetwater,75,US,1584468936,58,25.76,-80.37,86,12.75
Pevek,83,RU,1584468937,79,69.7,170.31,23.63,15.19
Nortelândia,79,BR,1584468937,83,-14.45,-56.8,83.39,3
Vardø,75,NO,1584468937,79,70.37,31.11,23,5.82
Cockburn Town,1,BS,1584468937,77,24.03,-74.52,73.85,13.11
Havelock,90,US,1584468937,82,34.88,-76.9,59,9.17
Ternate,2,ID,1584468844,90,0.8,127.4,73.85,3.27
Muisne,75,EC,1584468937,83,0.6,-80.03,82.4,5.82
Mar del Plata,90,AR,1584468673,73,-38,-57.56,73.99,9.17
Umm Kaddadah,72,SD,1584468938,13,13.6,26.69,81.41,12.06
Aksha,50,RU,1584468938,66,50.28,113.29,24.71,22.28
Barlinek,85,PL,1584468938,50,52.99,15.22,51.8,3.36
Kudahuvadhoo,0,MV,1584468938,77,2.67,72.89,84.65,18.75
Dongying,0,CN,1584468938,27,37.46,118.49,55.31,8.63
Sosnovka,96,RU,1584468938,92,56.26,51.28,31.55,5.91
Lorengau,100,PG,1584468939,76,-2.02,147.27,82.67,8.28
Jacareacanga,73,BR,1584468376,40,-6.22,-57.75,95.27,3.83
Ebebiyin,98,GQ,1584468939,77,2.15,11.34,77.63,4.68
Diffa,78,NE,1584468939,7,13.32,12.61,79.97,5.99
Murgab,75,TM,1584468939,40,37.5,61.97,68,11.41
Olafsvik,100,IS,1584468939,76,64.89,-23.71,28.85,42.26
Husavik,90,IS,1584468939,96,66.04,-17.34,32,21.92
Mastic Beach,90,US,1584468907,87,40.77,-72.85,51.01,9.17
Faanui,96,PF,1584468940,71,-16.48,-151.75,82.67,6.02
Tiznit Province,19,MA,1584468940,73,29.58,-9.5,50.27,10.89
Mount Gambier,90,AU,1584468205,37,-37.83,140.77,69.8,11.41
Kyaka,20,TZ,1584468940,83,-1.25,31.42,75.2,1.86
Wenling,100,CN,1584468941,88,28.37,121.36,59,1.01
Kirkwall,75,GB,1584468693,86,58.98,-2.96,41,21.92
Alofi,75,NU,1584468941,88,-19.06,-169.92,80.6,8.05
Quatre Cocos,40,MU,1584468941,88,-20.21,57.76,77,3.36
Henderson,40,US,1584468776,43,36.04,-114.98,57,13.87
Luau,92,AO,1584468941,93,-10.71,22.22,69.35,3.09
Pauini,100,BR,1584468941,72,-7.71,-66.98,83.03,4.16
Aberystwyth,100,GB,1584468942,100,52.42,-4.08,53.01,82.99
Pontianak,59,ID,1584468942,97,-0.03,109.33,73.85,1.88
Clyde River,75,CA,1584468942,75,70.47,-68.59,-18.4,16.11
Mao,74,TD,1584468942,5,14.12,15.31,84.29,11.9
High Level,75,CA,1584468942,78,58.52,-117.14,10.4,4.7
Rio Grande,40,BR,1584468721,57,-32.03,-52.1,80.6,13.87
Saint-Philippe,75,RE,1584468942,88,-21.36,55.77,77,4.7
Plouzané,66,FR,1584468943,76,48.38,-4.62,52,10.29
Chapais,90,CA,1584468943,86,49.78,-74.85,30.2,11.41
Shyryayeve,97,UA,1584468943,49,47.38,30.2,43.79,2.62
Okhotsk,0,RU,1584468943,79,59.38,143.3,-2.29,5.12
Dodge City,90,US,1584468909,100,37.75,-100.02,39.99,14.99
Belyy Yar,97,RU,1584468943,85,53.6,91.39,24.8,4.47
Rochegda,98,RU,1584468943,93,62.8,43.25,26.33,8.86
Queimadas,81,BR,1584468944,36,-10.98,-39.63,93.65,8.19
Arlit,62,NE,1584468944,10,18.74,7.39,88.07,5.19
Santa Cruz de La Palma,75,ES,1584468944,82,28.68,-17.76,62.6,11.41
Ushtobe,98,KZ,1584468944,41,45.25,77.98,58.73,11.72
Greenwood,90,US,1584468905,93,34.17,-82.12,69.01,4.7
Kalemie,99,CD,1584468944,98,-5.95,29.19,65.21,3.06
Senaki,90,GE,1584468944,93,42.27,42.07,37.4,2.24
Quelimane,20,MZ,1584468944,83,-17.88,36.89,80.6,5.82
Elizabeth City,1,US,1584468125,55,36.29,-76.25,66,6.93
Krym,0,RU,1584468945,55,47.3,39.52,37,4.47
Toora-Khem,0,RU,1584468945,92,52.47,96.11,8.87,2.8
Tura,25,RU,1584468381,87,64.28,100.25,-8.59,9.01
Krasnosel'kup,81,RU,1584468945,87,65.7,82.47,15.53,18.97
Shamary,100,RU,1584468946,94,57.34,58.22,28.85,9.17
Vitim,99,RU,1584468946,97,59.45,112.56,25.79,6.55
West Wendover,75,US,1584468946,40,40.74,-114.07,53.6,19.46
Sabha,17,LY,1584468946,15,27.04,14.43,75.11,10.54
Lagoa,0,PT,1584468355,77,39.05,-27.98,63.05,15.46
Guerrero Negro,40,MX,1584468946,56,27.98,-114.06,64.13,11.68
Saint Albans,90,US,1584468840,100,38.39,-81.84,51.01,3.02
Lábrea,61,BR,1584468947,54,-7.26,-64.8,90.77,4.45
Morros,37,BR,1584468947,59,-9.45,-46.3,84.29,4.14
Christchurch,0,NZ,1584468808,89,-43.53,172.63,39,2.24
Kutum,70,SD,1584468947,15,14.2,24.67,73.85,8.03
Le Port,20,RE,1584468947,83,-20.94,55.29,77,4.7
Cairns,75,AU,1584468947,78,-16.92,145.77,77,10.29
Binga,96,CD,1584468947,86,0.52,29.32,68.27,3.62
Ammon,90,US,1584468948,57,43.47,-111.97,48.2,3.36
Chernyshevskiy,100,RU,1584468725,96,63.01,112.47,-1.93,9.19
Marquette,75,US,1584468948,50,46.53,-87.63,33.01,16.11
Bonthe,12,SL,1584468373,65,7.53,-12.51,84.29,12.64
Loralai,35,PK,1584468948,50,30.37,68.6,56.75,4.27
Zuwārah,77,LY,1584468948,78,32.93,12.08,61.43,34.45
Chegdomyn,100,RU,1584468949,97,51.12,133.02,21.11,1.41
Tismana,0,RO,1584468949,56,45.05,22.97,45.95,3.85
Kovūr,8,IN,1584468949,85,14.48,79.98,76.37,5.93
Gimli,89,CA,1584468903,57,50.63,-96.99,21,2.39
Iroquois Falls,75,CA,1584468805,79,48.77,-80.68,26.6,16.11
Buala,13,SB,1584468236,85,-8.14,159.59,78.17,4.61
Kijabe,20,KE,1584468949,77,-0.93,36.58,69.8,8.05
Makakilo City,90,US,1584468950,100,21.35,-158.09,75.2,4.7
Santa Maria,75,CV,1584468950,53,16.6,-22.9,75.2,16.11
Sørland,20,NO,1584468368,80,67.67,12.69,39.2,19.46
Bambanglipuro,99,ID,1584468950,91,-7.95,110.28,75.65,5.99
Jérémie,67,HT,1584468950,71,18.65,-74.12,74.03,6.44
Turukhansk,77,RU,1584468950,88,65.82,87.98,9.95,15.19
Nome,90,US,1584468771,74,64.5,-165.41,28.4,17.22
Vestmanna,67,FO,1584468951,60,62.16,-7.17,39.2,17.22
Maun,51,BW,1584468951,57,-19.98,23.42,77,4.7
Nador,75,MA,1584468951,77,35.17,-2.93,60.8,17.22
Skjervøy,40,NO,1584468951,74,70.03,20.97,30.2,8.05
Manokwari,87,ID,1584468716,76,-0.87,134.08,73.31,3.53
Oriximiná,100,BR,1584468951,57,-1.77,-55.87,89.87,3.09
Santa Cruz,20,CR,1584468951,41,10.26,-85.59,91.4,24.16
Mehamn,75,NO,1584468952,79,71.04,27.85,28.4,5.82
Jumla,0,NP,1584468952,73,29.27,82.18,34.43,3.71
Tambovka,20,RU,1584468952,79,50.1,128.05,28.4,4.47
Petropavlovsk-Kamchatskiy,100,RU,1584468952,61,53.05,158.65,15.8,8.95
Baruun-Urt,98,MN,1584468952,83,46.68,113.28,27.05,3.47
Pacific Grove,1,US,1584468952,71,36.62,-121.92,54,1.54
Necochea,100,AR,1584468953,76,-38.55,-58.74,73,11.01
Naze,3,JP,1584468953,59,28.37,129.48,64.4,9.17
Kiunga,100,PG,1584468953,99,-6.12,141.29,73.31,3.58
Borogontsy,99,RU,1584468953,99,62.67,131.17,-2.83,2.51
Saint-Pierre,20,MQ,1584468953,55,14.74,-61.18,86,12.75
Yiyang,34,CN,1584468954,89,28.59,112.33,52.07,4.72
Tilichiki,100,RU,1584468954,81,60.47,166.1,11.03,2.98
Vostok,61,RU,1584468954,89,46.49,135.88,11.03,5.3
Lüderitz,0,NA,1584468954,72,-26.65,15.16,68,14.99
Pundaguitan,34,PH,1584468954,76,6.37,126.17,79.43,4.99
Tagusao,5,PH,1584468954,81,9.19,117.81,72.95,3
Taltal,1,CL,1584468955,69,-25.4,-70.48,66.47,7.61
Kruisfontein,33,ZA,1584468955,57,-34,24.73,68.63,7.9
Yulara,0,AU,1584468741,22,-25.24,130.99,80.6,10.29
Juan Lacaze,75,UY,1584468955,83,-34.43,-57.44,73.4,9.17
Sola,100,VU,1584468955,72,-13.88,167.55,84.29,8.05
Gamba,100,GA,1584468955,86,-2.65,10,77.63,4.72
Zabaykal'sk,100,RU,1584468955,76,49.63,117.32,21.65,14.76
Opglabbeek,75,BE,1584468955,37,51.04,5.58,55.99,4.7
Tonekābon,90,IR,1584468956,93,36.82,50.87,50,10.96
Te Anau,28,NZ,1584468956,82,-45.42,167.72,41.81,0.94
Rodrigues Alves,100,BR,1584468956,99,-7.74,-72.65,73.31,1.25
Chakwal,40,PK,1584468956,68,32.93,72.86,64.4,4.7
Ust'-Karsk,44,RU,1584468956,93,52.7,118.81,17.33,5.12
Benguela,90,AO,1584468956,83,-12.58,13.41,78.8,3.15
Fayaoué,25,NC,1584468956,79,-20.65,166.53,79.25,19.66
Bathsheba,40,BB,1584468221,58,13.22,-59.52,84.2,13.87
Waipawa,100,NZ,1584468957,54,-41.41,175.52,55.4,12.75
Horta,20,PT,1584468957,82,38.53,-28.63,64.4,13.87
Povenets,100,RU,1584468957,79,62.85,34.83,27.23,13.13
Biltine,14,TD,1584468957,11,14.53,20.92,83.21,9.64
Buchanan,75,LR,1584468957,74,5.88,-10.05,87.8,14.99
Tutóia,90,BR,1584468239,83,-2.76,-42.27,84.2,6.93
Bengkulu,100,ID,1584468958,91,-3.8,102.27,74.75,4.07
Tateyama,20,JP,1584468958,65,34.98,139.87,48.99,4.7
Bilma,62,NE,1584468786,6,18.69,12.92,81.41,8.01
Payson,1,US,1584468689,23,40.04,-111.73,57.2,14.99
Olinda,20,BR,1584468958,70,-8.01,-34.86,86,9.17
Umluj,0,SA,1584468958,50,25.02,37.27,72.41,6.2
Lavrentiya,100,RU,1584468958,96,65.58,-171,24.17,5.93
Kloulklubed,75,PW,1584468959,83,7.04,134.26,77,12.35
Monrovia,75,LR,1584468959,74,6.3,-10.8,87.8,14.99
Ponta do Sol,40,CV,1584468959,50,17.2,-25.09,75.2,28.86
Divnomorskoye,8,RU,1584468959,60,44.5,38.14,41.45,17.81
São João da Barra,75,BR,1584468960,69,-21.64,-41.05,82.4,13.87
Port Hardy,75,CA,1584468085,70,50.7,-127.42,42.8,6.93
Porto Novo,40,CV,1584468374,50,17.02,-25.06,75.2,28.86
Dali,55,CN,1584468960,76,25.7,100.18,47.39,2.62
Chhāpar,24,IN,1584468960,29,27.82,74.4,75.29,5.91
Muhos,90,FI,1584468960,97,64.81,25.99,33.01,9.17
Maragogi,89,BR,1584468961,76,-9.01,-35.22,83.39,13
Griffith,0,AU,1584468961,59,-34.28,146.03,60.8,3.36
Abhā,40,SA,1584468786,82,18.22,42.51,64.4,11.41
Vila Velha,20,BR,1584468374,70,-20.33,-40.29,86,14.99
Zhigansk,51,RU,1584468961,91,66.77,123.37,-25.69,14
Anloga,20,GH,1584468961,70,5.79,0.9,87.8,16.11
Antalaha,42,MG,1584468962,76,-14.9,50.28,81.41,0.89
Comodoro Rivadavia,20,AR,1584468962,59,-45.87,-67.5,66.2,12.75
Salcedo,75,DO,1584468962,74,19.38,-70.42,84,6.64
Yantal',100,RU,1584468725,92,56.85,105.25,16.07,12.73
Kristinehamn,20,SE,1584468962,81,59.31,14.11,48.2,14.99
Ubari,33,LY,1584468962,8,26.59,12.78,76.91,9.08
Wanning,100,CN,1584468962,79,18.8,110.4,72.95,4.9
Bouloupari,0,NC,1584468962,83,-21.87,166.05,71.6,2.24
Ahipara,0,NZ,1584468963,56,-35.17,173.17,59.63,8.34
Sangmélima,86,CM,1584468963,72,2.93,11.98,76.91,3.33
Namtsy,40,RU,1584468963,85,62.72,129.67,12.2,4.47
Broken Hill,1,AU,1584468371,40,-31.95,141.43,71.6,10.29
La Ronge,75,CA,1584468963,49,55.1,-105.28,-0.4,8.05
Ternovka,0,RU,1584468964,63,51.68,41.64,33.89,6.31
Sioux Lookout,40,CA,1584468964,48,50.1,-91.92,19.4,16.11
Mercer Island,75,US,1584468956,56,47.57,-122.22,48,1.9
Santo Antônio do Içá,91,BR,1584468964,73,-3.1,-67.94,87.53,2.04
Black River,20,JM,1584468964,58,18.03,-77.85,84.2,23.04
Varhaug,75,NO,1584468964,93,58.61,5.65,45,13.87
Muravlenko,100,RU,1584468964,93,63.79,74.52,20.39,14.43
Harper,65,LR,1584468381,79,4.38,-7.72,82.49,6.22
Dunda,100,TZ,1584468965,90,-8.12,34.25,67.73,1.72
Upington,20,ZA,1584468965,47,-28.45,21.26,80.6,18.34
Boende,100,CD,1584468965,94,-0.22,20.87,74.39,4.12
Frederick,40,US,1584468965,62,39.47,-77.4,62.01,6.93
Lianran,82,CN,1584468966,93,24.92,102.48,57,6.71
Cururupu,99,BR,1584468377,90,-1.83,-44.87,81.59,5.08
Camopi,24,GF,1584468966,34,3.17,-52.32,95.99,5.7
Zakamensk,34,RU,1584468966,84,50.37,103.29,15.71,1.88
Ahmadpur East,0,PK,1584468966,22,29.14,71.26,79.25,7.23
Samarai,64,PG,1584468967,86,-10.62,150.67,75.47,4.99
Sitka,1,US,1584468800,74,57.05,-135.33,35.6,3.36
Kashipur,0,IN,1584468967,67,29.22,78.95,63.77,5.35
